QuestionID,Year,Exam,Subject,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,Hint,
PHY-ESY-002,2026,Radiology - 01/26 - January 5 - Morning,Physiology,Endocrine System,,Hypercalcemia should be treated early. At what calcium level can coma and cardiac arrest occur?,2.25–2.5 mmol/L,2.5–2.75 mmol/L,4.25–4.75 mmol/L,5.25–5.5 mmol/L,,C,,,
PHY-ESY-003,2026,Gynecology - 01/26 - January 6 - Morning,Physiology,Endocrine System,,"A female’s father recently died in a tragic road accident. After some time, she developed mood swings and disturbed menstrual periods, which of the following neurotranquilizers might affect both mood and menstrual cycle regulation?",Dopamine,Serotonin,Norepinephrine,Acetylcholine,GABA,A,,,
PHY-ESY-004,2026,Medicine - 07/26 - July 9 - Afternoon,Physiology,Endocrine System,,Which of the following causes the release of both insulin and glucagon from the pancreas?,Cholecystokinin (CCK),Catecholamines,Amino acids,Acetylcholine,,C,,,
PHY-ESY-005,2026,Surgery - 01/26 - January 7 - Evening,Physiology,Endocrine System,,The anterior pituitary receives inhibitory input from the hypothalamus for which hormone?,Prolactin,GH,TSH,ACTH,,A,,,
PHY-ESY-006,2026,Radiology - 04/26 - April 7 - Morning,Physiology,Endocrine System,,"Which hormone causes protein,carbohydrate and fats storage in the body",Insulin,Growth hormone,TSH,ACTH,,A,,,
PHY-ESY-007,2026,Medicine - 01/26 - January 7 - Morning,Physiology,Endocrine System,,The mechanism of action of steroid hormones,Activation of membrane-bound G-protein-coupled receptors,Opening of ligand-gated ion channels,Binding to intracellular receptors and altering gene transcription,Activation of second messengers via adenylate cyclase,Inhibition of tyrosine kinase receptors,C,,,
PHY-ESY-008,2026,Medicine - 07/26 - July 10 - Morning,Physiology,Endocrine System,,A patient with type 2 diabetes receives insulin therapy. Which statement best describes how insulin enters target cells?,Simple diffusion across the cell membrane,Receptor-mediated binding to its cell surface receptor,Facilitated diffusion through GLUT4 transporters,Active transport via sodium-dependent channels,,B,,,
PHY-ESY-009,2026,Gynecology - 01/26 - January 5 - Morning,Physiology,Endocrine System,,"A person suddenly encounters a life-threatening, unfamiliar situation. In which of the following conditions is norepinephrine released by the adrenal medulla?","Unfamiliar, unexpected stress","Familiar, repeated stress",Pheochromocytoma with mild hypertension,Adapted/chronic stress,,A,,,
PHY-ESY-010,2026,Medicine - 01/26 - January 6 - Evening,Physiology,Endocrine System,,Hyperpigmentation in Addison disease is due to increased levels of which hormone?,Cortisol,Aldosterone,ACTH,ADH,,C,,,
PHY-ESY-011,2026,Medicine - 04/26 - April 8 - Night,Physiology,Endocrine System,,Which hormone most directly increases gluconeogenesis?,Cortisol,Insulin,Epinephrine,Aldosterone,Growth hormone,A,,,
PHY-ESY-012,2026,Medicine - 07/26 - July 7 - Evening,Physiology,Endocrine System,,A 30 year old patient has nausea and hyperkalemia. Which hormone is released in response to the elevated potassium level?,Aldosterone,ADH,Renin,ANP,,A,"Hyperkalemia directly stimulates the zona glomerulosa of the adrenal cortex to secrete aldosterone, increasing renal potassium excretion.",,
PHY-ESY-013,2026,Anesthesia - 07/26 - July 07 - Morning,Physiology,Endocrine System,,"A 24 year old man completes a marathon on a hot day. After prolonged exercise, he feels extremely thirsty and drinks 3 liters of water over a short period. Shortly afterward, his extracellular fluid volume increases. Which of the following hormones is released in response to this increase in extracellular fluid volume to help regulate water homeostasis?",Antidiuretic hormone (ADH),Aldosterone,Angiotensin II,Atrial natriuretic peptide (ANP),Renin,D,,,
PHY-ESY-014,2026,Medicine - 04/26 - April 9 - Evening,Physiology,Endocrine System,,Thyroid hormones increase body temperature and basal metabolic rate. What is the primary mechanism by which thyroxine increases energy production?,Inhibition of glycolysis,Uncoupling of oxidative phosphorylation,Decreased ATP synthesis directly,Blockade of electron transport chain,Inhibition of fatty acid oxidation,B,,,
PHY-ESY-015,2026,Gynecology - 01/26 - January 6 - Morning,Physiology,Endocrine System,,"A postmenopausal woman presents with generalized bone pain. Laboratory investigations reveal low serum calcium levels. While evaluating the possible causes of her hypocalcemia, which of the following hormones should be kept in mind as a contributor to her low calcium levels?",Parathyroid hormone,Vitamin D,Estrogen,Calcitonin,Aldosterone,D,,,
PHY-ESY-016,2026,Anesthesia - 01/26 - January 5 - Morning,Physiology,Endocrine System,,A 27 year old has been fasting for 72 hours. Which hormone maintains the fasting metabolic state?,Glucagon,Insulin,Epinephrine,Calcitonin,,A,,,
PHY-ESY-017,2026,Medicine - 07/26 - July 9 - Afternoon,Physiology,Endocrine System,,Hypercalcemia can be caused by an increase in which of the following?,25-hydroxycalciferol,"1,25-dihydroxycalciferol",Parathyroid hormone deficiency,Calcitonin,,B,,,
PHY-ESY-018,2026,Gynecology - 01/26 - January 6 - Morning,Physiology,Endocrine System,,A patient presents with tingling around the mouth and painful spasms of the hands and feet (carpopedal spasm). Laboratory investigation reveals an electrolyte abnormality. Decrease of which ion is responsible for these symptoms?,Sodium,Potassium,Magnesium,Calcium,Chloride,D,,,
PHY-ESY-019,2026,Gynecology - 01/26 - January 6 - Morning,Physiology,Endocrine System,,A patient presents with excessive thirst and increased frequency of urination. Laboratory evaluation suggests a metabolic cause affecting glucose regulation. Which hormonal abnormality is most likely responsible for these symptoms?,ACTH,Insulin,Glucagon,Cortisol,Aldosterone,B,,,
PHY-ESY-020,2025,Medicine - 08/25 - August 5 - Morning,Physiology,Endocrine System,,Which of the following substances plays the most important role in response to stress?,Catecholamines,Thyroxine,Growth hormone,Cortisol,Insulin,D,,,
PHY-ESY-021,2026,Anesthesia - 07/26 - July 07 - Morning,Physiology,Endocrine System,,"A 30 year old laborer has been working outdoors in hot weather for several hours. He develops excessive sweating and becomes intensely thirsty. His physician explains that a hormone released in response to decreased blood volume and blood pressure stimulates the thirst center, causing him to drink large amounts of water. Which of the following substances is primarily responsible for stimulating thirst in this patient?",Angiotensin II,Aldosterone,Atrial natriuretic peptide (ANP),Cortisol,,A,,,
PHY-ESY-022,2026,Medicine - 01/26 - January 5 - Evening,Physiology,Endocrine System,,Which of the following primarily mediates decreased GnRH secretion at night?,Dopamine,Serotonin,Melatonin,Cortisol,,C,,,
PHY-ESY-023,2026,Medicine - 01/26 - January 8 - Morning,Physiology,Endocrine System,,A patient with acromegaly is found to have impaired inhibitory control of growth hormone release. Which pair of hypothalamic hormones normally regulates pituitary GH secretion?,Dopamine and prolactin,Insulin and IGF-1,Somatostatin and GHRH,Cortisol and thyroxine,,C,,,
PHY-ESY-024,2026,Medicine - 04/26 - April 9 - Evening,Physiology,Endocrine System,,"A 25 year old athlete is running a marathon. During prolonged exercise, his body maintains blood glucose levels despite increased muscular uptake of glucose. Which of the following hormonal changes is most likely occurring?",Increased insulin and decreased glucagon,Decreased insulin and increased glucagon,Increased insulin and increased glucagon,Decreased both insulin and glucagon,No change in insulin or glucagon,B,,,
PHY-ESY-025,2026,Gynecology - 01/26 - January 5 - Morning,Physiology,Endocrine System,,Which of the following is the most potent stimulus for aldosterone secretion?,Hyperkalemia,Hypernatremia,Hypervolemia,Dehydration,,A,,,
PHY-ESY-026,2026,Radiology - 04/26 - April 8 - Evening,Physiology,Endocrine System,,Which of the following is considered the most potent and biologically active androgen (sex hormonE) in the male body?,Testosterone,Dihydrotestosterone (DHT),Androstenedione,Dehydroepiandrosterone (DHEA),,B,,,
PHY-ESY-027,2026,Medicine - 01/26 - January 8 - Morning,Physiology,Endocrine System,,Androgens are steroid hormones that exert their biological effects after entering the target cell. What is the main mechanism of action of androgens?,Acting on membrane receptors,Acting via cytokine signaling,Activation of second messengers,Direct effect on ribosomes,Regulation of gene transcription,E,,,
PHY-ESY-028,2025,Medicine - 08/25 - August 6 - Morning,Physiology,Endocrine System,,"The delayed biological effects of insulin, such as increased synthesis of enzymes and glucose transporters, occur because insulin:",Activates membrane ion channels for immediate glucose influx,Stimulates gene transcription and protein synthesis in target cells,Causes rapid phosphorylation of intracellular proteins,Directly transports glucose across the cell membrane,Binds to nuclear receptors like steroid hormones,B,,,
PHY-ESY-029,2026,Medicine - 01/26 - January 7 - Morning,Physiology,Endocrine System,,The hormone released in darkness is:,Melatonin,Cortisol,Serotonin,Dopamiine,,A,,,
PHY-ESY-030,2025,Medicine - 08/25 - August 6 - Evening,Physiology,Endocrine System,,A patient has been fasting for 72 hours. Which hormone is primarily responsible for maintaining blood glucose levels by promoting glycogenolysis and gluconeogenesis?,Insulin,Glucagon,Cortisol,Epinephrine,Growth hormone,B,,,
PHY-ESY-031,2026,Gynecology - 07/26 - July 08 - Morning,Physiology,Endocrine System,,"In a patient presenting with hirsutism due to PCOS, ACTH acts by stimulating the adrenal gland to release which of the following?",Cortisol,Aldosterone,Androgen,Epinephrine,,C,"Adrenal Contribution: ACTH triggers the adrenal cortex to co-secrete DHEA-S, adding an extra-ovarian source of circulating androgens.",,
PHY-ESY-032,2026,Medicine - 04/26 - April 8 - Evening,Physiology,Endocrine System,,A patient with CKD develops secondary hyperparathyroidism. Which hormone is elevated to increase osteoclastic activity to maintain calcium levels?,Parathormone,Glucagon,Insulin,Erythropoietin,,A,,,
PHY-ESY-033,2026,Gynecology - 04/26 - April 8 - Evening,Physiology,Endocrine System,,Parathyroid hormone (PTH) increases serum calcium levels primarily by stimulating the activity of,Calcitonin,PTH,Vitamin D activation,Estrogen,,C,,,
PHY-ESY-034,2026,Gynecology - 07/26 - July 08 - Morning,Physiology,Endocrine System,,"During the first trimester of pregnancy, TSH is usually:",Increased,Suppressed (low),Unchanged,Extremely elevated,,B,"Human chorionic gonadotropin (hCG) shares a structural alpha-subunit with TSH and weakly stimulates the thyroid gland, leading to transiently high free T4 levels and a physiological suppression of serum TSH.",,
PHY-ESY-035,2026,Medicine - 01/26 - January 7 - Morning,Physiology,Endocrine System,,"In a patient with Graves' disease, the expected change in thyroid-stimulating hormone (TSH) levels is:",Increased,Normal,Decreased,Fluctuating,,C,,,
PHY-ESY-036,2025,Medicine - 08/25 - August 5 - Morning,Physiology,Endocrine System,,A patient in the neurology ward underwent excision of a craniopharyngioma involving the pituitary gland. Which cells of the pituitary have the largest secretory granules?,Chromophobes,Basophils,Acidophils,Folliculostellate cells,Follicular cells,B,,,
PHY-ESY-037,2026,Medicine - 01/26 - January 7 - Morning,Physiology,Endocrine System,,Hormone increasing muscle protein synthesis:,Cortisol,Testosterone,Insulin,GH,,B,,,
PHY-ESY-038,2026,Gynecology - 04/26 - April 8 - Evening,Physiology,Endocrine System,,"During periods of physiological stress or fasting, which combination of hormones is primarily responsible for stimulating gluconeogenesis?",Insulin & Glucagon,Cortisol & epinephrine,Thyroxine & Epinephrine,GH & FSH,,B,,,
PHY-ESY-039,2026,Medicine - 01/26 - January 6 - Evening,Physiology,Endocrine System,,A 25 year old fasting for 72 hours. Which hormone maintains metabolic state?,Insulin,Growth Hormone,Epinephrine,Glucagon,,D,,,
PHY-ESY-040,2026,Medicine - 07/26 - July 9 - Morning,Physiology,Endocrine System,,Which hormone activates the Na+/K+-ATPase pump?,Cortisol,Insulin,T3 (Triiodothyronine),Glucagon,,B,,,
PHY-ESY-041,2025,Medicine - 08/25 - August 4 - Evening,Physiology,Endocrine System,,"A 45 year old man presents for a routine health check. He has a sedentary lifestyle and a BMI of 31 kg/m². His lipid profile reveals: triglycerides 300 mg/dL, HDL 32 mg/dL, LDL 140 mg/dL. Fasting glucose is 108 mg/dL. Which hormone is most directly implicated in the pathophysiology of his lipid abnormalities?",Glucagon,Insulin,Cortisol,Growth hormone,Leptin,B,,,
PHY-ESY-042,2026,Medicine - 04/26 - April 9 - Night,Physiology,Endocrine System,,A 30 year old woman presents with a pituitary mass on MRI and bilateral galactorrhea (nipple discharge). Which hormone normally inhibits this symptom?,Prolactin,Dopamine,Oxytocin,Growth hormone,Thyrotropin-releasing hormone (TRH),B,,,
PHY-ESY-043,2026,Radiology - 04/26 - April 7 - Morning,Physiology,Endocrine System,,"A child presents with retarded growth, low calcium, and high phosphate levels. Which hormone is most likely elevated?",Calcitonin,Parathyroid Hormone (PTH),Thyroxine,Growth Hormone,,B,,,
PHY-ESY-044,2026,Gynecology - 01/26 - January 5 - Morning,Physiology,Endocrine System,,Increase in both TRH and TSH is seen in which condition?,Hypothalamus disease,Pituitary disease,Graves disease,Hashimoto,,A,,,
PHY-ESY-045,2026,Radiology - 01/26 - January 6 - Morning,Physiology,Endocrine System,,Cortisol has which effect?,Anabolic,Catabolic,No effect,Hepatic only,,B,,,
PHY-ESY-046,2026,Gynecology - 01/26 - January 7 - Evening,Physiology,Endocrine System,,Aldosterone is released in response to:,Hyperkalemia,Hypokalemia,Hypernatremia,Hypercalcemia,,A,,,
PHY-ESY-047,2026,Medicine - 04/26 - April 9 - Morning,Physiology,Endocrine System,,"A patient with diabetic ketoacidosis is treated with insulin infusion. After treatment, which of the following electrolyte changes is most expected as a direct effect of insulin?",Hyperkalemia,Hypokalemia,Hypercalcemia,Hypernatremia,,B,,,
PHY-ESY-048,2026,Medicine - 01/26 - January 5 - Evening,Physiology,Endocrine System,,What stimulus increases the secretion of antidiuretic hormone (ADH)?,Decreased plasma osmolarity,Low plasma volume,High blood pressure,Hypernatremia only,,B,,,
PHY-ESY-049,2026,Medicine - 07/26 - July 9 - Afternoon,Physiology,Endocrine System,,A patient presents with hypocalcemia and hyperphosphatemia. Administration of parathyroid hormone (PTH) results in increased urinary cAMP levels. What is the most likely cause of this condition?,Vitamin D toxicity,Hypoparathyroidism,Pseudohypoparathyroidism,Hyperparathyroidism,,B,,,
PHY-ESY-050,2026,Medicine - 01/26 - January 8 - Morning,Physiology,Endocrine System,,"A patient develops muscle cramps, tetany, and positive Chvostek sign. Which electrolyte abnormality is responsible?",Hyperkalemia,Hypermagnesemia,Hypocalcemia,Hypomagnesemia,,C,,,
PHY-ESY-051,2026,Gynecology - 04/26 - April 8 - Evening,Physiology,Endocrine System,,Carpopedal spasms (Trousseau's sign) are a classic clinical sign of,Hyperkalemia,Hypocalcemia,Hypernatremia,Hypomagnesemia,,B,,,
PHY-ESY-052,2026,Gynecology - 01/26 - January 7 - Evening,Physiology,Endocrine System,,Patient has puffy skin and hoarse voice. Her plasma TSH concentration is low but increases markedly when she is given TRH she probably has?,Hyperthyroidism with problem in Thyroid,Hyperthyroidism with problem in pituitary,Hyperthyroidism with problem in hypothalamus,Hypothyroidism with Thyroid problem,Hypothyroidism with hypothalamus,E,,,
PHY-ESY-053,2026,"Gynecology - 01/26 - January 6 - Morning, Surgery - 01/26 - January 7 - Evening",Physiology,Endocrine System,,Patient has puffy skin and hoarse voice. Her plasma TSH concentration is low but increases markedly when she is given TRH she probably has?,Hyperthyroidism with problem in thyroid,Hyperthyroidism with problem in pituitary,Hyperthyroidism with problem in hypothalamus,Hypothyroidism with thyroid problem,Hypothyroidism with hypothalamus problem,E,,,
PHY-ESY-054,2025,Medicine - 08/25 - August 5 - Morning,Physiology,Endocrine System,,A 13 year old boy came with untreated type 1 DM. Insulin injection will increase which of the following?,Urinary glucose,Hyperkalemia,Urinary ketones,I+ levels,Blood pH,D,,,
PHY-ESY-055,2026,Medicine - 01/26 - January 8 - Morning,Physiology,Endocrine System,,A post-thyroidectomy patient develops perioral tingling and carpopedal spasm. This neuromuscular irritability is primarily due to:,Increased sodium channel opening,Reduced potassium efflux,Reduced calcium-mediated membrane stabilization,Increased acetylcholine release,,C,,,
PHY-ESY-056,2026,Gynecology - 01/26 - January 7 - Evening,Physiology,Endocrine System,,What is the most potent stimulus for aldosterone secretion?,Increased sodium,Decreased potassium,Hyperkalemia,Increased blood volume,Increased atrial natriuretic peptide,C,,,
PHY-ESY-057,2025,Medicine - 08/25 - August 6 - Morning,Physiology,Endocrine System,,Which of the following is a primary late metabolic effect of insulin?,Increased glycogenolysis,Increased lipolysis,Increased protein synthesis,Increased gluconeogenesis,Increased ketogenesis,C,,,
PHY-ESY-058,2026,Radiology - 07/26 - July 07 - Morning,Physiology,Endocrine System,,"A 37 year old patient presents with central obesity, moon face, and insulin resistance. Which metabolic effect is expected?",Inhibition of lipolysis,Decreased glycogen formation,Increased gluconeogenesis,Increased glucose uptake by cells,,C,"Cushing syndrome causes excess cortisol, which increases hepatic gluconeogenesis and insulin resistance, leading to hyperglycemia.",,
PHY-ESY-059,2026,Medicine - 07/26 - July 9 - Afternoon,Physiology,Endocrine System,,Insulin deficiency causes which of the following?,Hypokalemia,Increase muscle mass,Coma and dehydration,Increased glycogen synthesis,,C,,,
PHY-ESY-060,2026,Medicine - 07/26 - July 9 - Morning,Physiology,Endocrine System,,Which metabolic effect is characteristic of Cushing syndrome?,Decreased gluconeogenesis,Increased glycolysis,Increased gluconeogenesis,Increased glycogenolysis only,,C,,,
PHY-ESY-061,2026,Gynecology - 01/26 - January 6 - Morning,Physiology,Endocrine System,,A patient with hypothalamic dopamine deficiency develops galactorrhea. The likely lab finding is:,Decreased prolactin,Increased prolactin,Decreased ACTH,Increased MSH,,B,,,
PHY-ESY-062,2026,Medicine - 01/26 - January 7 - Morning,Physiology,Endocrine System,,Administration of dopamine affects prolactin levels by:,Increasing prolactin,Decreasing prolactin,No effect,Increasing TSH,,B,,,
PHY-ESY-063,2025,Surgery - 08/25 - August 6 - Evening,Physiology,Endocrine System,,Mechanism of action of Omeprazole?,Inhibit H2 receptors,Inhibit Na/K pump,Inhibit H/K pump in parietal cells,Inhibit PG formation,,C,,,
PHY-ESY-064,2026,Radiology - 04/26 - April 8 - Evening,Physiology,Endocrine System,,"During a period of physiological stress and prolonged fasting, the body maintains blood glucose levels through hormonal regulation. Which of the following hormones is primarily responsible for long-term maintenance of blood glucose concentration?",Epinephrine,Norepinephrine,Cortisol,Insulin,Glucagon,C,,,
PHY-ESY-065,2026,Medicine - 04/26 - April 8 - Evening,Physiology,Endocrine System,,"During a period of prolonged physiological stress, which hormone is the primary mediator for increasing the rate of gluconeogenesis to ensure adequate energy supply?",Cortisol,Growth Hormone,Nor Epinephrine,Insulin,,A,,,
PHY-ESY-066,2026,Medicine - 04/26 - April 8 - Evening,Physiology,Endocrine System,,Which of the following hormones utilizes the cGMP second messenger mechanism?,Oxytocin,ANP,Prolactin,Insulin,,B,,,
PHY-ESY-067,2026,Radiology - 07/26 - July 08 - Morning,Physiology,Endocrine System,,Glucagon secretion is increased during which of the following?,After a high carbohydrate meal,Hyperglycemia,Exercise,Insulin infusion,,C,Hypoglycemia>Exercise>Sleep,,
PHY-ESY-068,2026,Medicine - 07/26 - July 10 - Morning,Physiology,Endocrine System,,Chronic obesity is associated with insulin resistance due to persistent low-grade inflammation. Which cytokine plays the most important role in this process?,Interleukin-2 (IL-2),Interferon-γ (IFN-γ),Tumor necrosis factor-α (TNF-α),Interleukin-10 (IL-10),,C,,,
PHY-ESY-069,2026,Medicine - 01/26 - January 5 - Evening,Physiology,Endocrine System,,"Which electrolyte abnormality is responsible for tetany, muscle twitching, and seizures in a patient who underwent thyroid surgery?",Mg,Ca,Phosphorus,K,,B,,,
PHY-ESY-070,2026,Medicine - 01/26 - January 8 - Morning,Physiology,Endocrine System,,Glucocorticoids decrease which of the following?,Glucocerebroside,Glucocerebroside uptake,Glycogen stores,Lipolysis,,B,,,
PHY-ESY-071,2026,Surgery - 07/26 - July 09 - Afternoon,Physiology,Endocrine System,,A 35 year old patient presents with headache and blurred vision. Imaging reveals a GH-secreting pituitary tumor. He has enlarge hands but no increase in height Which of the following is an effect of growth hormone (GH)?,Gigantism,Growth of Long bone,Increase blood sugar,Low blood sugar,,C,,,
PHY-ESY-072,2026,Medicine - 07/26 - July 9 - Afternoon,Physiology,Endocrine System,,A 35 year old patient presents with headache and blurred vision. Imagingreveals a GH-secreting pituitary tumor. He has enlarge hands but no increase in height Which of the following is an effect of growth hormone (GH)?,Gigantism,Growth of Long bone,Increase blood sugar,Low blood sugar,,C,,,
PHY-ESY-073,2026,Radiology - 04/26 - April 7 - Morning,Physiology,Endocrine System,,Uncoupling oxidative phosphorylation,Thyroxin,Epinephrine,Dopamine,N.epinephrine,Serotinine,D,,,
PHY-ESY-074,2026,Medicine - 04/26 - April 7 - Morning,Physiology,Endocrine System,,"After ingestion of a glucose-rich meal, which hormonal change is expected?",Increased glucagon,Increased insulin,Both decreased,No significant change,,B,,,
PHY-ESY-075,2026,Medicine - 01/26 - January 8 - Morning,Physiology,Endocrine System,,Which of the following is not a primary stress hormone released in acute stress?,Epinephrine,Thyroid Stimulating Hormone (TSH),Adrenocorticotropic Hormone (ACTH),Norepinephrine,,B,,,
PHY-ESY-076,2026,Gynecology - 01/26 - January 6 - Morning,Physiology,Endocrine System,,Certain hormones are released directly from neurons into the bloodstream and act at distant target organs. Which of the following hormones is released via a neuroendocrine mechanism?,Insulin,Cortisol,Aldosterone,Oxytocin,Estrogen,D,,,
PHY-ESY-077,2026,Medicine - 01/26 - January 8 - Morning,Physiology,Endocrine System,,Oxytocin and vasopressin are released from the posterior pituitary but are synthesized in which region before axonal transport?,Pars nervosa,Posterior pituitary,Hypothalamic supraoptic and paraventricular nuclei,Pineal gland,,C,,,
PHY-ESY-078,2026,Gynecology - 01/26 - January 5 - Morning,Physiology,Endocrine System,,Which hormone shows increased secretion during darkness?,Cortisol,Growth hormone,Melatonin,Prolactin,,C,,,
PHY-ESY-079,2026,Anesthesia - 07/26 - July 07 - Morning,Physiology,Endocrine System,,"A 34 year old woman presents with progressive weight gain, purple abdominal striae, proximal muscle weakness, hypertension, and a rounded ""moon"" face. She is diagnosed with Cushing disease due to a pituitary adenoma. Which of the following metabolic processes is increased in this condition?",Glycogenesis,Gluconeogenesis,Glycolysis,Protein synthesis,,B,,,
PHY-ESY-080,2026,Medicine - 04/26 - April 8 - Evening,Physiology,Endocrine System,,"In a healthy individual during the post-absorptive state, plasma glucose levels are maintained within a narrow range. Which physiological process in the liver is primarily responsible for this maintenance?",Glycolysis,Gluconeogenesis,Lipogenesis,Protein synthesis,,B,,,
PHY-ESY-081,2026,Radiology - 07/26 - July 07 - Morning,Physiology,Endocrine System,,Which is the active form of thyroid hormone circulating in the blood?,Free T3,Thyroglobulin,Free T4,Protein-bound T3,,A,Free T3 is the biologically active thyroid hormone. T4 is mainly a prohormone converted to T3 in peripheral tissues. Only the free hormone is biologically active.,,
PHY-ESY-082,2026,Medicine - 04/26 - April 9 - Morning,Physiology,Endocrine System,,A patient with diabetic ketoacidosis (DKA) has been treated with insulin. Now the patient's condition has improved,"pH = 7.32, bicarbonate = 18 mEq/L, anion gap = 11, but urine dipstick is still positive for ketones. What is the most likely explanation?",Persistent ketoacidosis with normal anion gap metabolic acidosis,"B-hydroxybutyrate converted to acetoacetate, which is detected by urine dipstick",Renal impairment causing ketone retention,Ongoing uncontrolled insulin deficiency,,,,
PHY-ESY-083,2026,Radiology - 07/26 - July 07 - Morning,Physiology,Endocrine System,,"An athlete drinks 1 liter of water after a race, resulting in an increase in extracellular fluid volume. Which hormone is expected to increase in response?",Antidiuretic hormone (ADH),Aldosterone,Atrial natriuretic peptide (ANP),Renin,,C,"Expansion of extracellular fluid increases atrial stretch, stimulating ANP release, which promotes sodium and water excretion.",,
PHY-ESY-084,2026,Medicine - 01/26 - January 7 - Morning,Physiology,Endocrine System,,Glucagon secretion increases during:,Sleep,Exercise,Postprandial state,Rest,,B,,,
PHY-ESY-085,2026,Anesthesia - 01/26 - January 5 - Morning,Physiology,Endocrine System,,Which of the following is inhibited by dopamine?,Glycine,Acetylcholine,Prolactin,Somatostatin,GABA,C,,,
PHY-ESY-086,2026,Radiology - 01/26 - January 6 - Morning,Physiology,Endocrine System,,Which anterior pituitary cells contain the most secretory vacuoles?,Mammotroph,Thyrotroph,Gonadotroph,Somatotroph,,A,,,
PHY-ESY-087,2026,Medicine - 04/26 - April 9 - Evening,Physiology,Endocrine System,,"A 35 year old man presents with enlarged hands and feet, coarse facial features, and increased sweating. MRI shows a pituitary adenoma. Which anterior pituitary cell type is most likely overproducing the responsible hormone?",Lactotrophs,Thyrotrophs,Corticotrophs,Sommatotrophs,Gonadotrophs,D,,,
PHY-ESY-088,2026,Radiology - 01/26 - January 5 - Morning,Physiology,Endocrine System,,What increases in Graves' disease?,T3,T4,TSH,T3 and T4,,D,,,
PHY-ESY-089,2026,Radiology - 07/26 - July 07 - Morning,Physiology,Endocrine System,,"Dopamine acts as the prolactin-inhibiting factor. In a lactating mother, dopamine inhibits the secretion of which hormone?",Prolactin,Oxytocin,GnRH,Thyroid-stimulating hormone (TSH),,A,"Dopamine from the hypothalamus tonically inhibits prolactin secretion. Reduced dopamine during breastfeeding allows prolactin release. Prolactin stimulates milk production, whereas oxytocin mediates milk ejection.",,
PHY-ESY-090,2026,Medicine - 04/26 - April 8 - Evening,Physiology,Endocrine System,,Which of the following hormones is known to have a primary anabolic effect on the liver?,Cortisol,Epinephrine,Insulin,Thyroxin,,C,,,
PHY-ESY-091,2026,Medicine - 01/26 - January 5 - Evening,Physiology,Endocrine System,,Certain hormonal states can increase basal metabolic rate by uncoupling oxidative phosphorylation in mitochondria. Increase of which hormone can cause uncoupling of the electron transport chain?,Insulin,Cortisol,Aldosterone,Thyroxine,Growth hormone,D,,,
PHY-ESY-092,2026,Medicine - 01/26 - January 7 - Morning,Physiology,Endocrine System,,A hormone that causes intrahepatic protein synthesis along with extrahepatic protein catabolism is:,Insulin,Growth hormone,Cortisol,Thyroxine,,C,,,
PHY-ESY-093,2026,Surgery - 01/26 - January 6 - Evening,Physiology,Endocrine System,,Hyperpigmentation in Addison disease results from increased secretion of which hormone?,Aldosterone,ACTH,Cortisol,TSH,,B,,,
PHY-ESY-094,2026,Radiology - 01/26 - January 5 - Morning,Physiology,Endocrine System,,What decreases in Graves' disease?,T3,Iodine,Cardiac output,TSH,,D,,,
PHY-ESY-095,2026,Medicine - 01/26 - January 6 - Evening,Physiology,Endocrine System,,A dialysis-dependent patient with chronic kidney disease developed increased osteoclast activity leading to bone resorption. This change is primarily due to increased levels of which hormone?,Cortisol,Parathyroid hormone (PTH),Calcitonin,Vitamin D,,B,,,
PHY-ESY-096,2026,Surgery - 01/26 - January 6 - Evening,Physiology,Endocrine System,,A dialysis-dependent patient with chronic kidney disease has increased osteoclast activity causing bone resorption. Which hormone's elevated level primarily causes this change?,Parathyroid hormone (PTH),Calcitonin,Insulin,Vitamin D,,A,,,
PHY-ESY-097,2026,Medicine - 07/26 - July 9 - Afternoon,Physiology,Endocrine System,,A patient presents with tetany affecting only the hands and feet. Which deficiency is the most likely cause?,Ionized calcium,Potassium,Magnesium,Vitamin D,,A,,,
PHY-ESY-098,2026,Gynecology - 04/26 - April 8 - Morning,Physiology,Endocrine System,,Which hormone is secreted by the parafollicular C-cells of the thyroid gland to lower blood calcium levels?,Thyroxine,Parathyroid hormone,Calcitonin,Vitamin D,,C,,,
,2025,Surgery - 08/25 - August 6 - Evening,Physiology,Endocrine System,,"When a patient fast and does not eat for 3 days, which hormone increases?",GH,Insulin,Cortisol,Glucagon,,D,,,
SUR-ESY-001,2026,Surgery - 01/26 - January 7 - Evening,Surgery,Endocrine System,,A patient presents with a thyroid swelling suspicious for malignancy. Which investigation is most appropriate to further evaluate the thyroid tumor?,Thyroid function tests,Ultrasound of the neck only,CT scan of the neck,Fine-needle aspiration cytology (FNAC),Radionuclide thyroid scan,D,,,
SUR-ESY-002,2026,Surgery - 07/26 - July 09 - Afternoon,Surgery,Endocrine System,,A 14 year old boy presents to the surgical OPD in Karachi with a midline neck swelling present for 6 months. The swelling moves upward on swallowing What is the first-line investigation you would order?,TFT,MRI neck,USG neck,FNAC,,C,,,
SUR-ESY-003,2026,Medicine - 04/26 - April 8 - Night,Surgery,Endocrine System,,A 40 year old woman undergoes thyroidectomy for Graves disease. Which is a late postoperative complication?,Hypothyroidism,Hypoparathyroidism,Hoarseness of voice,Laryngeal edema,Hemorrhage,B,,,
