QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
BRS-P-182,IMMUNOLOGY,,Hashimoto thyroiditis is most strongly associated with which antibody?,Anti-thyroglobulin,Anti-TSH receptor,Anti-thyroid peroxidase (Anti-TPO),Anti-dsDNA,,C,
BRS-P-183,IMMUNOLOGY,,Which cytokine is primarily responsible for septic shock in Neisseria meningitidis infection?,IL-2,TNF-?,IL-10,IFN-?,,B,
BRS-P-184,IMMUNOLOGY,,Which investigation is the most specific for SLE?,ANA,ESR,Anti-dsDNA antibody,CRP,,C,
BRS-P-185,IMMUNOLOGY,,The most sensitive screening test for systemic lupus erythematosus (SLE) is:,Anti-dsDNA antibody,Anti-Sm antibody,ANA,Complement C3 level,,C,
BRS-P-186,IMMUNOLOGY,,MHC-I molecules present antigens to which type of T cells?,CD8 T cells,,,,,A,
BRS-P-187,IMMUNOLOGY,,What is the primary screening test for SLE?,ANA,,,,,A,
BRS-P-188,IMMUNOLOGY,,Which interleukin is primarily responsible for promoting IgE production and contributing to eosinophil excess in asthma?,IL-13,,,,,A,
BRS-P-189,INFECTIOUS DISEASE,,HIV patient and partner present with similar umbilicated skin lesions. Diagnosis?,Molluscum contagiosum,,,,,A,
BRS-P-190,INFECTIOUS DISEASE,,What is the primary antibiotic treatment for a painless genital ulcer (chancre) appearing after unprotected intercourse?,Penicillin G (for Primary Syphilis),,,,,A,
BRS-P-191,INFECTIOUS DISEASE,,A patient develops severe pneumonia after exposure to a contaminated air conditioner cooling tower. What is the diagnosis and best rapid test?,Legionella pneumophila / Urinary antigen test,,,,,A,
BRS-P-192,MEDICINE,,A patient has a water-hammer pulse with an early diastolic murmur. The diagnosis is:,Mitral regurgitation,Aortic regurgitation,Mitral stenosis,Aortic stenosis,,B,
BRS-P-193,MEDICINE,,The murmur of aortic stenosis is heard during:,Isovolumetric contraction,Ventricular systole (ejection phase),Rapid ventricular filling,Atrial systole,,B,
BRS-P-194,MEDICINE,,Which if normal will rule out PE?,X-ray,ECG,V/Q,D-dimer,,D,
BRS-P-195,MICROBIOLOGY,,Plague is transmitted from rats to humans primarily by:,Direct contact with rat urine,Inhalation of rat droppings,Bite of infected rat flea,Ingestion of contaminated food,,C,
BRS-P-196,MICROBIOLOGY,,What structural feature differentiates Gram-negative bacteria from Gram-positive?,Outer membrane containing lipopolysaccharide (LPS),,,,,A,
BRS-P-197,MICROBIOLOGY,,What structural feature differentiates Gram-positive bacteria from Gram-negative?,Thick peptidoglycan layer and teichoic acids,,,,,A,
BRS-P-198,MICROBIOLOGY,,A UTI organism showing swarming motility is:,Escherichia coli,Proteus mirabilis,Klebsiella pneumoniae,Enterococcus faecalis,,B,
BRS-P-199,MICROBIOLOGY,,Which organism characteristically demonstrates swarming motility on culture?,Escherichia coli,Proteus mirabilis,Klebsiella pneumoniae,Enterobacter cloacae,,B,
BRS-P-200,MICROBIOLOGY,,Gram-negative bacteria differ from Gram-positive bacteria because they possess:,Thick peptidoglycan layer,Teichoic acid,Outer membrane containing lipopolysaccharide (LPS),No periplasmic space,,C,
BRS-P-201,MICROBIOLOGY,,What structural feature characterizes the cell wall of Gram-negative bacteria?,Outer membrane with Lipopolysaccharide (LPS),,,,,A,
BRS-P-202,MICROBIOLOGY,,"A farmer presents with fever, a discharging chest sinus, and multiple lung infiltrates. Diagnosis?",Actinomyces israelii,,,,,A,
BRS-P-203,MICROBIOLOGY,,A fungal infection showing pseudohyphae on microscopy is characteristic of:,Candida albicans,,,,,A,
BRS-P-204,MICROBIOLOGY,,What is the mechanism of action of Diphtheria toxin?,Inhibits protein synthesis by ADP-ribosylation of Elongation Factor-2 (EF-2),,,,,A,
BRS-P-205,MICROBIOLOGY,,A patient presents with fever and a sore throat. What is the most common bacterial cause?,Streptococcus pyogenes (Group A Strep),,,,,A,
BRS-P-206,MICROBIOLOGY,,"A patient presents with fever, weight loss, and blood-streaked sputum. Most likely organism?",Mycobacterium tuberculosis,,,,,A,
BRS-P-207,MICROBIOLOGY,,Which group of bacteria naturally lacks a cell wall and does not Gram stain?,Mycoplasma species,,,,,A,
BRS-P-208,MICROBIOLOGY,,Which organism causing bacterial vaginosis is classically described as Gram-variable (staining both slightly positive and negative)?,Gardnerella vaginalis,,,,,A,
BRS-P-209,NEPHROLOGY,,Hemodialysis patient with K? 6.2. What food should be avoided?,Mangoes,,,,,A,
BRS-P-210,NEPHROLOGY,,How is Prerenal acute kidney injury differentiated from ATN using fractional excretion of urea (FEUrea)?,FEUrea < 35% (or 20% depending on options) indicates prerenal,,,,,A,
BRS-P-211,NEPHROLOGY,,"An SLE patient presents with hematuria, hypertension, and heavy urinary protein (+++). What is the diagnosis?",Lupus nephritis,,,,,A,
BRS-P-212,NEUROANATOMY,,Sensation of vibration and proprioception is carried by which tract?,Spinothalamic tract,Dorsal column - Medial lemniscus pathway,Corticospinal tract,Rubrospinal tract,,B,
BRS-P-213,NEUROANATOMY,,"A patient loses facial expressions on one entire side of the face. If the lesion is nuclear, where is it located?",Pons,,,,,A,
BRS-P-214,NEUROANATOMY,,"In a hemisection of the spinal cord (Brown-Séquard syndrome), damage to which tract causes ipsilateral Upper Motor Neuron (UMN) signs?",Lateral corticospinal tract,Anterior horn,,,,A,
BRS-P-215,NEUROANATOMY,,Which sensory modalities accompany taste fibers to the Ventral Posteromedial (VPM) nucleus of the thalamus?,"Facial touch, pressure, and vibration",,,,,A,
BRS-P-216,NEUROANATOMY,,A patient presents with decreased sensation on the medial side of the arm and difficulty in pronation and interphalangeal joint flexion. Which structures are injured?,Medial cord of brachial plexus / Median and Ulnar nerves,,,,,A,
BRS-P-217,NEUROANATOMY,,A patient presenting with bitemporal hemianopia most likely has a lesion compressing the:,"Optic chiasm (e.g., Pituitary adenoma)",,,,,A,
BRS-P-218,NEUROLOGY,,A 55 year old patient presented with abrupt onset of facial drooping and one sided weakness while watching tv. Diagnosis?,TIA,Cerebral hemorrhage,SAH,Cerebral infarction,,D,
BRS-P-219,NEUROLOGY,,What type of gait is classically seen in bilateral proximal muscle weakness?,Waddling gait,,,,,A,
BRS-P-220,NEUROLOGY,,Brown-Séquard syndrome causes ipsilateral motor loss due to involvement of the:,Spinothalamic tract,Dorsal column,Lateral corticospinal tract,Spinocerebellar tract,,C,
BRS-P-221,NEUROLOGY,,The major inhibitory neurotransmitter within the basal ganglia is:,Dopamine,Glutamate,GABA,Serotonin,,C,
BRS-P-222,NEUROLOGY,,The direct motor pathway of the basal ganglia primarily facilitates:,Muscle atrophy,Initiation of voluntary movement,Pain sensation,Muscle relaxation during sleep,,B,
BRS-P-223,NEUROLOGY,,Trendelenburg gait is most commonly caused by injury to the:,Inferior gluteal nerve,Superior gluteal nerve,Femoral nerve,Sciatic nerve,,B,
BRS-P-224,NEUROLOGY,,Waddling gait is classically seen in:,Cerebellar disease,Bilateral hip abductor weakness or proximal myopathy,Parkinson disease,Common peroneal nerve injury,,B,
BRS-P-225,NEUROLOGY,,The primary neurotransmitter of the nigrostriatal pathway is:,Serotonin,Dopamine,Acetylcholine,Glutamate,,B,
BRS-P-226,NEUROLOGY,,Trendelenburg gait is caused by weakness of:,Gluteus maximus,Gluteus medius and minimus,Hamstrings,Iliopsoas,,B,
BRS-P-227,NEUROLOGY,,Waddling gait is typically seen in:,Parkinson disease,Bilateral proximal muscle weakness (myopathy),Cerebellar lesions,Common peroneal nerve injury,,B,
BRS-P-228,NEUROLOGY,,A 55-year-old presents with sudden facial droop and unilateral weakness while watching TV. Diagnosis?,Cerebral infarction,,,,,A,
BRS-P-229,NEUROLOGY,,Superior gluteal nerve injury results in what abnormal gait?,Trendelenburg gait,,,,,A,
BRS-P-230,NEUROLOGY,,Loss of bitter taste indicates damage to which cranial nerve?,Glossopharyngeal nerve (CN IX),,,,,A,
BRS-P-231,NEUROLOGY,,Motor loss. Which part of internal capsule?,Anterior limb,Genu,Posterior limb,Retrolentiform,,C,
BRS-P-232,NEUROLOGY,,Hemisection of spinal cord. Finding?,Ipsilateral pain loss,"Ipsilateral motor + proprioception loss, contralateral pain/temp loss",Bilateral loss,Only sensory loss,,B,
BRS-P-233,NEUROLOGY,,"If the tongue deviates to the right upon protrusion, which nerve is injured?",Right Hypoglossal nerve (CN XII),,,,,A,
BRS-P-234,NEUROLOGY,,"Akathisia, dyskinesia, and tremors are associated with pathology in which part of the brain?",Basal ganglia (Substantia nigra),,,,,A,
BRS-P-235,NEUROLOGY,,Occlusion of which artery causes Lower Motor Neuron (LMN) signs at the level of the lesion and Upper Motor Neuron (UMN) signs below it?,Anterior spinal artery,,,,,A,
BRS-P-236,OBSTETRICS,,Injury to which nerve during vaginal delivery may lead to fecal (stool) incontinence?,Femoral nerve,Obturator nerve,Pudendal nerve,Sciatic nerve,,C,
BRS-P-237,OBSTETRICS,,Stool incontinence following a normal vaginal delivery (SVD) indicates injury to which nerve?,Pudendal nerve,,,,,A,
BRS-P-238,OPHTHALMOLOGY,,What is the primary function of the retinal pigment epithelium?,Absorbs scattered light and phagocytoses photoreceptor outer segments,,,,,A,
BRS-P-239,ORTHOPEDICS,,Housemaid’s knee is caused by inflammation of which bursa?,Prepatellar bursa,,,,,A,
BRS-P-240,ORTHOPEDICS,,A distal radius fracture with dorsal displacement is known as:,Colles fracture,,,,,A,
BRS-P-241,ORTHOPEDICS,,Posterior dislocation of the femur/hip commonly injures which nerve?,Sciatic nerve,,,,,A,
BRS-P-242,ORTHOPEDICS,,Which bursa is affected in Housemaid’s knee?,Suprapatellar bursa,Prepatellar bursa,Infrapatellar bursa,Semimembranosus bursa,,B,
BRS-P-243,ORTHOPEDICS,,Posterior dislocation of the hip most commonly injures which nerve?,Femoral nerve,Obturator nerve,Sciatic nerve,Pudendal nerve,,C,
BRS-P-244,ORTHOPEDICS,,Tennis elbow most commonly involves:,Flexor carpi radialis tendon,Common extensor tendon (Extensor carpi radialis brevis),Triceps tendon,Biceps tendon,,B,
BRS-P-245,ORTHOPEDICS,,Posterior hip dislocation commonly injures which nerve?,Sciatic nerve,,,,,A,
BRS-P-246,PATHOLOGY,,"A 60-year-old male presents with bone pain, anemia, and recurrent infections. Serum protein electrophoresis shows a sharp monoclonal peak. This ""M spike"" is most commonly due to:",Waldenström macroglobulinemia,Multiple myeloma,Lymphoma,Chronic lymphocytic leukemia,,B,
BRS-P-247,PATHOLOGY,,"On autopsy, the liver of a chronic alcoholic patient is yellow, greasy, and enlarged. This is due to:",Hepatic steatosis / Fatty liver,Hepatic necrosis,Hepatic fibrosis,Hepatic cirrhosis,,A,
BRS-P-248,PATHOLOGY,,PAS stain is primarily used to detect:,Bacteria,Viruses,Fungi and Glycogen,Mycobacteria,,C,
BRS-P-249,PATHOLOGY,,Gastric MALT lymphoma is most commonly associated with infection by:,Helicobacter pylori,Epstein-Barr virus,Campylobacter jejuni,Salmonella typhi,,A,
BRS-P-250,PATHOLOGY,,What is the classic skin manifestation of Tuberous Sclerosis?,Ash-leaf hypopigmented macules,,,,,A,
BRS-P-251,PATHOLOGY,,"In G6PD deficiency, what are Heinz bodies composed of?",Oxidized and denatured hemoglobin,,,,,A,
BRS-P-252,PATHOLOGY,,Is hyperemia an active or passive pathological process?,Active arteriolar dilatation,,,,,A,
BRS-P-253,PATHOLOGY,,Hyperemia is best defined as:,Passive venous congestion,Active arteriolar dilatation causing increased blood flow,Venous thrombosis,Lymphatic obstruction,,B,
BRS-P-254,PATHOLOGY,,The tumor marker of medullary thyroid carcinoma is:,Thyroglobulin,Calcitonin,CEA only,TSH,,B,
BRS-P-255,PATHOLOGY,,"After limb immobilization in a plaster cast for two weeks, muscle weakness develops due to:",Nerve denervation,Disuse atrophy,Muscle necrosis,Loss of neuromuscular junctions,,B,
BRS-P-256,PATHOLOGY,,Carbuncle at the nape of the neck is an example of:,Serous inflammation,Suppurative (purulent) inflammation,Granulomatous inflammation,Fibrinous inflammation,,B,
BRS-P-257,PATHOLOGY,,Liquefactive necrosis is classically seen in:,Heart,Brain,Kidney,Liver,,B,
BRS-P-258,PATHOLOGY,,The BCL-2 oncogene promotes lymphoma by:,Increasing mitosis,Activating p53,Inhibiting apoptosis by preventing cytochrome c release,Stimulating DNA repair,,C,
BRS-P-259,PATHOLOGY,,"In G6PD deficiency, Heinz bodies are formed due to:",Iron deposition,Oxidized and denatured hemoglobin,DNA fragments,Howell-Jolly bodies,,B,
BRS-P-260,PATHOLOGY,,Which pathological process best describes hyperemia?,Passive venous congestion,Active arteriolar dilatation with increased blood flow,Lymphatic obstruction,Venous thrombosis,,B,
BRS-P-261,PATHOLOGY,,Heinz bodies are a characteristic finding in:,Hereditary spherocytosis,G6PD deficiency,Thalassemia major,Iron deficiency anemia,,B,
BRS-P-262,PATHOLOGY,,Fanconi syndrome primarily affects which part of the nephron?,Loop of Henle,Distal convoluted tubule,Proximal convoluted tubule,Collecting duct,,C,
BRS-P-263,PATHOLOGY,,"In IgA nephropathy, immune complexes are primarily removed by:",Podocytes,Mesangial cells,Endothelial cells,Neutrophils,,B,
BRS-P-264,PATHOLOGY,,Hyperemia is defined as:,Passive venous congestion,Active arteriolar dilatation resulting in increased blood flow,Venous thrombosis,Lymphatic obstruction,,B,
BRS-P-265,PATHOLOGY,,G6PD deficiency is characterized by which type of hemolysis and cellular inclusion?,Mainly intravascular hemolysis and Heinz bodies,,,,,A,
BRS-P-266,PATHOLOGY,,Is hyperemia considered an active or passive pathological process?,Active process,,,,,A,
BRS-P-267,PATHOLOGY,,"In IgA nephropathy, which cells are responsible for clearing the immune deposits?",Mesangial cells,,,,,A,
BRS-P-268,PATHOLOGY,,What is the characteristic sweat finding used to diagnose cystic fibrosis?,High sweat chloride (and sodium),,,,,A,
BRS-P-269,PATHOLOGY,,Alport syndrome is characterized by a genetic defect in:,Type IV collagen,,,,,A,
BRS-P-270,PATHOLOGY,,Ewing sarcoma translocation?,t(9;22),t(11;22),t(8;14),t(15;17),,B,
BRS-P-271,PATHOLOGY,,IgA nephropathy - cells involved?,Podocytes,Mesangial cells,Endothelial,Tubular,,B,
BRS-P-272,PATHOLOGY,,Viruses cause cell injury by?,Pore formation,Direct cytotoxicity + Immune mediated,Toxin release,Cell wall damage,,B,
BRS-P-273,PATHOLOGY,,Fever + rash + mediastinal widening on X-ray?,TB,Lymphoma / Hodgkin,Histoplasmosis,Sarcoidosis,,B,
BRS-P-274,PATHOLOGY,,"Testicular pain 2 hours, orchidectomy. Neutrophils + fibrin. Diagnosis?",Torsion,Fibrinous necrosis,Gangrenous necrosis,Coagulative necrosis,,B,
BRS-P-275,PATHOLOGY,,Carbon laden macrophages seen in?,Lung,Lymph nodes,Liver,Spleen,,B,
BRS-P-276,PATHOLOGY,,How dysplasia differs from malignancy?,?N:C ratio,No invasion/metastasis,Pleomorphism,Hyperchromasia,,B,
BRS-P-277,PATHOLOGY,,Spider nevi + skin darkening?,Autoimmune hepatitis,Hemochromatosis,Wilson,PBC,,B,
BRS-P-278,PATHOLOGY,,Living by river. Drug for parasite?,Albendazole,Praziquantel,Metronidazole,Ivermectin,,B,
BRS-P-279,PATHOLOGY,,"ZN -ve, slight response to H2SO4. Organism?",TB,Nocardia,Actinomyces,Fungus,,B,
BRS-P-280,PATHOLOGY,,Murphy sign positive. Epithelium of involved structure has?,Cilia,Microvilli,Goblet cells,Keratin,,B,
BRS-P-281,PATHOLOGY,,Foam cells found in atherosclerotic plaques are primarily derived from:,Macrophages,,,,,A,
BRS-P-282,PATHOLOGY,,Which of the following is a classic example of a tumor suppressor gene?,p53 / Rb / APC,,,,,A,
BRS-P-283,PEDIATRICS,,A newborn has not passed meconium in 48 hours and has abdominal distension. Rectal biopsy shows absence of ganglion cells. Diagnosis is:,Hirschsprung disease,Aganglionic megacolon / Hirschsprung disease,Meconium ileus,Intestinal atresia,,B,
BRS-P-284,PEDIATRICS,,"Micrognathia, glossoptosis, and cleft palate are characteristic of:",Pierre Robin sequence,,,,,A,
BRS-P-285,PHARMACOLOGY,,"A patient with cirrhosis had variceal bleeding. Managed with terlipressin and band ligation. For secondary prophylaxis of rebleeding, which drug should be started next?",Octreotide,Nitroglycerin,Propranolol,Omeprazole,,C,
BRS-P-286,PHARMACOLOGY,,What is the mechanism of action of protamine sulphate?,Forms a stable inactive complex with heparin,,,,,A,
BRS-P-287,PHARMACOLOGY,,What drug is administered to enhance the elimination of Leflunomide from the blood?,Cholestyramine,,,,,A,
BRS-P-288,PHARMACOLOGY,,Which antibiotic is commonly used to treat Pseudomonas aeruginosa infections?,Piperacillin-Tazobactam,,,,,A,
BRS-P-289,PHARMACOLOGY,,Which drug is given for secondary prophylaxis after terlipressin and band ligation in a variceal bleed?,Propranolol,,,,,A,
BRS-P-290,PHARMACOLOGY,,A patient with rusty sputum pneumonia is allergic to penicillin. The best alternative treatment is:,Ciprofloxacin,Cefixime,"Macrolide (e.g., Azithromycin/Clarithromycin)",Ampicillin,,C,
BRS-P-291,PHARMACOLOGY,,A patient overdoses on multiple tablets including paracetamol and later develops abdominal pain. Which drug is most likely responsible for hepatotoxicity?,Tramadol,Ibuprofen,Paracetamol,Combination tablets only,,C,
BRS-P-292,PHARMACOLOGY,,Which antihypertensive commonly causes postural hypotension in elderly patients?,Prazosin,Atorvastatin,Allopurinol,Aspirin,,A,
BRS-P-293,PHARMACOLOGY,,Which drug is commonly used to reduce raised intracranial pressure?,Furosemide,Mannitol,Hydrochlorothiazide,Acetazolamide,,B,
BRS-P-294,PHARMACOLOGY,,An oral ulcer caused by anaerobic bacteria is best treated with:,Ciprofloxacin,Metronidazole,Amoxicillin,Ceftriaxone,,B,
BRS-P-295,PHARMACOLOGY,,Blood pressure rises during anesthesia in a non-pregnant female. Which drug is preferred?,Metoprolol,Hydralazine,Glyceryl trinitrate (GTN),,,C,
BRS-P-296,PHARMACOLOGY,,Which drug commonly causes reflex tachycardia at therapeutic doses?,Isosorbide dinitrate,Propranolol,,,,A,
BRS-P-297,PHARMACOLOGY,,A pregnant obese woman has severe GERD. Which medication is most appropriate to reduce reflux?,Proton pump inhibitor (PPI),Oral sodium citrate,IV ranitidine,,,A,
BRS-P-298,PHARMACOLOGY,,Succinylcholine is contraindicated because of hyperkalemia risk. Which alternative neuromuscular blocker is preferred?,Rocuronium,Vecuronium,Atracurium,,,A,
BRS-P-299,PHARMACOLOGY,,The most commonly prescribed diuretic in clinical practice is:,Thiazide diuretic,Spironolactone,Loop diuretic,,,A,
BRS-P-300,PHARMACOLOGY,,Thiazide diuretics act primarily on the:,Proximal convoluted tubule,Loop of Henle,Distal convoluted tubule,Collecting duct,,C,
BRS-P-301,PHARMACOLOGY,,Which nerve fibers are blocked first by local anesthetics?,A fibers,B fibers,C fibers,,,B,
BRS-P-302,PHARMACOLOGY,,An important adjuvant drug in thyroid storm is:,PTU,Propranolol,,,,B,
BRS-P-303,PHARMACOLOGY,,Which drug is NOT effectively administered through an endotracheal tube (NAVEL mnemonic)?,Naloxone,Atropine,Vasopressin,Lidocaine,,C,
BRS-P-304,PHARMACOLOGY,,Diphenoxylate controls diarrhea by:,Increasing intestinal secretion,Stimulating bowel motility,Activating opioid receptors to reduce intestinal motility,Neutralizing bacterial toxins,,C,
BRS-P-305,PHARMACOLOGY,,Heparin toxicity is reversed with:,Vitamin K,Protamine sulfate,Fresh frozen plasma,Tranexamic acid,,B,
BRS-P-306,PHARMACOLOGY,,The intensive phase of standard anti-tuberculosis therapy consists of:,Isoniazid + Rifampicin,Rifampicin + Ethambutol + Streptomycin,Rifampicin + Isoniazid + Pyrazinamide + Ethambutol (RIPE),Isoniazid + Ethambutol only,,C,
BRS-P-307,PHARMACOLOGY,,Which drug is used to enhance elimination of Leflunomide in toxicity?,Folic acid,Methotrexate,Cholestyramine,Mesna,,C,
BRS-P-308,PHARMACOLOGY,,Which antibiotic has reliable activity against Pseudomonas aeruginosa?,Amoxicillin,Cefuroxime,Piperacillin–Tazobactam,Cephalexin,,C,
BRS-P-309,PHARMACOLOGY,,Which adverse effect is most characteristic of aspirin?,Nephrotoxicity,Gastric ulceration and gastrointestinal bleeding,Gingival hyperplasia,Hyperglycemia,,B,
BRS-P-310,PHARMACOLOGY,,Which adverse effect is classically associated with heparin therapy?,Stevens–Johnson syndrome,Heparin-induced thrombocytopenia (HIT),Pulmonary fibrosis,Agranulocytosis,,B,
BRS-P-311,PHARMACOLOGY,,Which cephalosporin is specifically indicated for Pseudomonas infections?,Ceftazidime,,,,,A,
BRS-P-312,PHARMACOLOGY,,A tennis player receives IV opioids and then develops abdominal pain and an ileus. What is the mechanism?,Inhibition of enteric neurons leading to decreased GI motility,,,,,A,
BRS-P-313,PHARMACOLOGY,,What drug is given after terlipressin and band ligation for variceal bleed prophylaxis?,Propranolol,,,,,A,
BRS-P-314,PHARMACOLOGY,,What drug is used for Leflunomide toxicity or washout in pregnancy?,Cholestyramine,,,,,A,
BRS-P-315,PHARMACOLOGY,,What is the first-line medical treatment for stable SVT?,Adenosine,,,,,A,
BRS-P-316,PHARMACOLOGY,,What is the primary medical treatment for stable VT?,Amiodarone,,,,,A,
BRS-P-317,PHARMACOLOGY,,What is the treatment for VT associated with ischemic heart disease (IHD)?,Lidocaine,,,,,A,
BRS-P-318,PHARMACOLOGY,,What is the specific antidote for heparin toxicity?,Protamine sulfate,,,,,A,
BRS-P-319,PHARMACOLOGY,,What is the mechanism of action of Protamine sulfate?,Directly binds and neutralizes heparin,,,,,A,
BRS-P-320,PHARMACOLOGY,,"What is the antidote for a Paracetamol overdose (?8 g+) presenting with nausea, vomiting, and abdominal pain?",N-acetylcysteine,,,,,A,
BRS-P-321,PHARMACOLOGY,,"A drug starting with ""D"" for diarrhea and abdominal cramps that decreases GI motility:",Dicyclomine / Diphenoxylate,,,,,A,
BRS-P-322,PHARMACOLOGY,,Which antibiotic is used for elective surgery prophylaxis in a patient with a penicillin allergy?,Clindamycin,,,,,A,
BRS-P-323,PHARMACOLOGY,,What is the mechanism of action of Hydroxyurea?,Ribonucleotide reductase inhibition,,,,,A,
BRS-P-324,PHARMACOLOGY,,What is the drug of choice for a Streptococcus pneumoniae infection?,Amoxicillin,,,,,A,
BRS-P-325,PHARMACOLOGY,,Bronchitis patient taking ammonium chloride for 6 months. What will happen?,Metabolic alkalosis,Respiratory acidosis,Metabolic acidosis,Respiratory alkalosis,No effect,C,
BRS-P-326,PHARMACOLOGY,,Hypercalcemia drug?,Furosemide,Thiazide diuretics,Beta blocker,ACE inhibitor,,B,
BRS-P-327,PHARMACOLOGY,,Penicillin resistance. Next drug?,Amoxicillin,Vancomycin,Clindamycin,Azithromycin,,B,
BRS-P-328,PHARMACOLOGY,,"If GFR <40, dose of which TB drug to be adjusted?",Rifabutin,Rifampicin,Isoniazid,Pyrazinamide,,D,
BRS-P-329,PHARMACOLOGY,,30 weeks pregnant - PTU or Methimazole?,Methimazole,PTU,Both,None,,B,
BRS-P-330,PHARMACOLOGY,,Anaphylactic reaction treatment?,Antihistamine,Steroids,IM Epinephrine,Salbutamol,,C,
BRS-P-331,PHARMACOLOGY,,Drug of choice for Gram-positive diplococci (Strep pneumo) and chains (Strep pyogenes):,Penicillin / Amoxicillin,,,,,A,
BRS-P-332,PHARMACOLOGY,,Which chemotherapeutic agent classically causes peripheral neuropathy and limb weakness?,Vincristine,,,,,A,
BRS-P-333,PHARMACOLOGY,,A patient develops perioral numbness and confusion after repeated lidocaine injections during septoplasty. Diagnosis?,Local Anesthetic Systemic Toxicity (LAST),,,,,A,
BRS-P-334,PHARMACOLOGY,,Which drug can be added to Levodopa/Carbidopa therapy in Parkinson's disease to inhibit peripheral COMT and prevent levodopa breakdown?,Entacapone,,,,,A,
BRS-P-335,PHYSICS,,Oxygen flow through an orifice is:,Directly proportional to pressure difference,Directly proportional to the square root of pressure difference,Dependent only on oxygen concentration,Independent of pressure,,B,
BRS-P-336,PHYSIOLOGY,,What is the primary physiological function of Vitamin D?,Increases intestinal absorption of calcium and phosphate,,,,,A,
BRS-P-337,PHYSIOLOGY,,What is the major neurotransmitter of the nigrostriatal pathway in the basal ganglia?,Dopamine,,,,,A,
BRS-P-338,PHYSIOLOGY,,Persistent vomiting most commonly causes:,Metabolic acidosis,Hyperkalemia,Hypochloremic metabolic alkalosis,Respiratory alkalosis,,C,
BRS-P-339,PHYSIOLOGY,,"During the last trimester of pregnancy, which respiratory parameter increases?",Respiratory rate,Arterial PCO2,Vital capacity,Tidal volume,,D,
BRS-P-340,PHYSIOLOGY,,Liddle syndrome is caused by mutation of which transporter?,Na+/K+ ATPase,ENaC (Epithelial sodium channel),NKCC2 cotransporter,NCC cotransporter,,B,
BRS-P-341,PHYSIOLOGY,,Trendelenburg position primarily increases:,Functional residual capacity (FRC),Venous return (preload),Residual volume,Dead space ventilation,,B,
BRS-P-342,PHYSIOLOGY,,Vitamin D primarily increases:,Potassium absorption,Calcium and phosphate absorption from the intestine,Sodium absorption,Iron absorption,,B,
BRS-P-343,PHYSIOLOGY,,"After drinking a large volume of water, which hormone secretion decreases?",Aldosterone,ADH (Vasopressin),Renin,Cortisol,,B,
BRS-P-344,PHYSIOLOGY,,The principal action of vitamin D is to:,Increase iron absorption,Increase intestinal absorption of calcium and phosphate,Increase potassium absorption,Increase sodium absorption,,B,
BRS-P-345,PHYSIOLOGY,,"Calculate Expiratory Reserve Volume (ERV) given Vital Capacity (VC) = 6000mL, Inspiratory Reserve Volume (IRV) = 2500mL, and Tidal Volume (TV) = 500mL.",3000 mL (VC = IRV + TV + ERV),,,,,A,
BRS-P-346,PHYSIOLOGY,,What hormonal change occurs when an athlete rapidly drinks 1 L of water?,Decreased ADH,,,,,A,
BRS-P-347,PHYSIOLOGY,,Liddle syndrome is caused by a mutation resulting in:,ENaC gain-of-function,,,,,A,
BRS-P-348,PHYSIOLOGY,,What is the characteristic physiological state of the upper lung zones?,High V/Q ratio,,,,,A,
BRS-P-349,PHYSIOLOGY,,What is the primary function of the stapedius muscle?,Dampens loud sounds,,,,,A,
BRS-P-350,PHYSIOLOGY,,Olfactory receptor cell depolarization is caused by:,Na?/Ca²? influx via cAMP channels,,,,,A,
BRS-P-351,PHYSIOLOGY,,Where is the satiety center located in the brain?,Ventromedial hypothalamus,,,,,A,
BRS-P-352,PHYSIOLOGY,,In pulmonary embolism what happens?,V/Q ratio zero,V/Q ratio increased,PO2 alveolar equals inspired air,Both A and C,,B,
BRS-P-353,PHYSIOLOGY,,Central chemoreceptors respond to?,CSF pH ?,?PCO2 in arterial blood,?PO2,?pH in blood,,B,
BRS-P-354,PHYSIOLOGY,,Effect of vagotomy on GIT?,?Motility + ?Acid secretion,?Motility + ?Acid secretion,?Motility + ?Acid,No effect,,B,
BRS-P-355,PHYSIOLOGY,,Patient has nausea + ?K. Which hormone will be released?,ADH,Renin,Aldosterone,Cortisol,,C,
BRS-P-356,PHYSIOLOGY,,Renin is inhibited by?,?NaCl in DCT,"?BP, ?NaCl, Ang II",Prostaglandins,Sympathetic stimulation,,B,
BRS-P-357,PHYSIOLOGY,,Hypotonic fluid reabsorbed in which part of nephron?,PCT,Ascending limb of Loop of Henle,DCT,Collecting duct,,B,
BRS-P-358,PHYSIOLOGY,,Feeding center inhibited by?,Lateral hypothalamus,Ventromedial hypothalamus,Supraoptic,Paraventricular,,B,
BRS-P-359,PHYSIOLOGY,,"Running, core temp 40°C. Increased sweating by?",Pre-ganglionic sympathetic cholinergic,Post-ganglionic sympathetic cholinergic,Epinephrine,Norepinephrine,,B,
BRS-P-360,PHYSIOLOGY,,The parasympathetic nervous system controls which aspect of the male sexual response?,Erection,Ejaculation,,,,A,
BRS-P-361,PHYSIOLOGY,,What is the afferent limb of the cough reflex?,Vagus nerve (CN X),,,,,A,
