QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,Hint
RWR-Respiratory System-001,Respiratory System,,"A 40-year-old woman is undergoing diagnostic hysteroscopy under anesthesia. She is breathing spontaneously through an oxygen face mask. Ten minutes into the procedure, her oxygen saturation drops from 98% to 92%.What is the most likely cause of the desaturation?",Fluid overload leading to pulmonary edema,Atelectasis due to sedation and supine positioning,Bronchospasm from airway irritation,Aspiration of gastric contents,Equipment malfunction (oxygen disconnection or kinking of tubing),B,"<span style=""color:green""><b>Atelectasis due to sedation and supine positioning</b></span> Sedation + supine = reduced FRC → dependent atelectasis, V/Q mismatch.<br><br><span style=""color:red""><b>Fluid overload</b></span> Unlikely early in hysteroscopy with minimal fluids.<br><br><span style=""color:red""><b>Bronchospasm</b></span> Would have wheezing.<br><br><span style=""color:red""><b>Aspiration</b></span> More acute onset with signs.<br><br><span style=""color:red""><b>Equipment malfunction</b></span> Possible, but check physiology first.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Sedation + supine = collapsing alveoli (atelectasis) = desaturation.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She's breathing spontaneously under sedation while lying flat — what happens to lung bases in that position?"
RWR-Cardiovascular System-004,Cardiovascular System,,"A 28-year-old man is brought to the emergency department after a motor vehicle accident. He is pale, tachycardic (HR 130/min), and has evidence of intra-abdominal bleeding on FAST scan. Initial airway and breathing are secured. The next step is fluid resuscitation.What is the fluid of choice in the initial trauma setting?","Crystalloid (e.g., Ringer's lactate or normal saline)","Colloid (e.g., albumin, hetastarch)",Fresh frozen plasma (FFP),Whole blood transfusion as first step,Hypertonic saline,A,"<span style=""color:green""><b>Crystalloid (e.g., Ringer's lactate or normal saline)</b></span> ATLS: 1 L warmed isotonic crystalloid is the first step in hemorrhagic shock.<br><br><span style=""color:red""><b>Colloid</b></span> No survival benefit, may harm coagulation.<br><br><span style=""color:red""><b>FFP</b></span> Part of massive transfusion, not initial bolus.<br><br><span style=""color:red""><b>Whole blood</b></span> Used later in massive transfusion, not as first ED bolus.<br><br><span style=""color:red""><b>Hypertonic saline</b></span> Not first-line; no proven advantage.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""ATLS initial bolus = warm isotonic crystalloid.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> In the emergency room, what is the very first type of fluid given to a trauma patient with suspected internal bleeding?"
RWR-Medical Ethics-001,Medical Ethics,,A 7-year-old child is scheduled for an elective inguinal hernia repair. The surgeon needs to obtain legal and ethical consent before proceeding with the surgery.What is the most appropriate approach in this situation?,Informed consent from the parents/ guardians,Assent from the child only,Rely on Gillick competence of the child,Proceed under coercion if the child resists,No consent is required for minors,A,"<span style=""color:green""><b>Informed consent from the parents/ guardians</b></span> A 7-year-old cannot legally consent; parents/guardians must provide consent, with child assent sought.<br><br><span style=""color:red""><b>Assent from the child only</b></span> Encouraged but does not replace parental consent.<br><br><span style=""color:red""><b>Gillick competence</b></span> Rarely applicable to a 7-year-old.<br><br><span style=""color:red""><b>Proceed under coercion</b></span> Unethical and illegal.<br><br><span style=""color:red""><b>No consent required for minors</b></span> False; minors need parental consent except in emergencies.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Parents give consent, children give assent.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The patient is 7 years old — who legally provides permission for an elective operation?"
RWR-Gastrointestinal System-009,Gastrointestinal System,,"A newborn male, born at term via spontaneous vaginal delivery, develops excessive frothy oral secretions, coughing, and choking shortly after his first feeding. He becomes cyanotic during feeding but improves when feeding is stopped. Attempts to pass a nasogastric (NG) tube are unsuccessful, with the tube repeatedly coiling in the upper chest. On chest X-ray, the NG tube is seen coiled in the proximal esophageal pouch, and there is gas present in the stomach and intestines.What is the most likely diagnosis?",Esophageal atresia with distal tracheoesophageal fistula,Pure esophageal atresia without fistula,H-type tracheoesophageal fistula without esophageal atresia,Laryngomalacia,Congenital diaphragmatic hernia,A,"<span style=""color:green""><b>Esophageal atresia with distal tracheoesophageal fistula</b></span> Frothy secretions, choking, NG tube coils in upper pouch + gas in stomach = distal TEF.<br><br><span style=""color:red""><b>Pure esophageal atresia</b></span> No gas in stomach.<br><br><span style=""color:red""><b>H-type TEF</b></span> NG tube passes; later recurrent aspiration.<br><br><span style=""color:red""><b>Laryngomalacia</b></span> Stridor, no NG tube issue.<br><br><span style=""color:red""><b>Congenital diaphragmatic hernia</b></span> Scaphoid abdomen, no esophageal pouch.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""NG tube coiled in pouch + gas in stomach = EA with distal TEF.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The NG tube coiled in the chest, yet there's gas in the intestines — what connection allows air to reach the stomach?"
RWR-Cardiovascular System-005,Cardiovascular System,,"A 55-year-old man with type 2 diabetes presents with pain in his left leg, which worsens as the day progresses. On examination, there is thickening and induration of the skin along the medial aspect of the leg, and a painful ulcer just above the medial malleolus. Peripheral pulses are palpable, and there is no history of trauma.Which of the following is the most likely diagnosis?",Venous insufficiency,Lymphedema,Peripheral arterial disease,Diabetic neuropathy,Cellulitis,A,"<span style=""color:green""><b>Venous insufficiency</b></span> Day-worsening pain, pigmentation, induration, medial malleolar ulcer + palpable pulses = venous stasis.<br><br><span style=""color:red""><b>Lymphedema</b></span> Non-pitting swelling without ulceration.<br><br><span style=""color:red""><b>Peripheral arterial disease</b></span> Distal, painful rest ulcer, absent pulses.<br><br><span style=""color:red""><b>Diabetic neuropathy</b></span> Painless ulcer over pressure points.<br><br><span style=""color:red""><b>Cellulitis</b></span> Erythema, warmth, no ulcer.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Medial malleolus ulcer + edema + pulses = venous stasis.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The ulcer is just above the medial malleolus, pulses are felt, and the pain gets worse as the day goes on — which vascular system is failing?"
RWR-Hematologic System-002,Hematologic System,,Which of the following laboratory tests is the most appropriate to monitor warfarin therapy?,Prothrombin Time (PT),Activated Partial Thromboplastin Time (aPTT),INR (International Normalized Ratio),Thrombin Time (TT),Platelet Count,C,"<span style=""color:green""><b>INR (International Normalized Ratio)</b></span> INR standardizes PT results across labs, used to monitor warfarin therapy.<br><br><span style=""color:red""><b>Prothrombin Time (PT)</b></span> Measures extrinsic pathway but INR is the standardized monitoring test.<br><br><span style=""color:red""><b>aPTT</b></span> For heparin monitoring.<br><br><span style=""color:red""><b>Thrombin Time</b></span> Assesses fibrinogen; not for warfarin.<br><br><span style=""color:red""><b>Platelet Count</b></span> Does not reflect warfarin effect.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Warfarin = INR.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Which lab value is specifically designed to standardize oral anticoagulant monitoring across different labs?"
RWR-Cardiovascular System-006,Cardiovascular System,,A 56-year-old man with hypertension and hyperlipidemia presents for evaluation of exertional chest discomfort. He has no history of myocardial infarction. Resting ECG is normal. You want to assess for inducible ischemia. What is the next best step in evaluating this patient?,Exercise treadmill stress test,Dipyridamole (pharmacologic) stress test,Coronary angiography immediately,Echocardiography without stress,Troponin I level,A,"<span style=""color:green""><b>Exercise treadmill stress test</b></span> Exertional chest pain, normal resting ECG, able to exercise → treadmill stress test first.<br><br><span style=""color:red""><b>Pharmacologic stress test</b></span> For patients unable to exercise.<br><br><span style=""color:red""><b>Coronary angiography</b></span> Not first-line without high-risk features.<br><br><span style=""color:red""><b>Echocardiography without stress</b></span> Resting echo may be normal.<br><br><span style=""color:red""><b>Troponin I</b></span> Rules out acute MI, not stable angina.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Can exercise + normal ECG = treadmill stress test first.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He has exertional pain and normal baseline ECG — what is the simplest way to look for exercise-induced ischemia?"
RWR-Integumentary System-001,Integumentary System,,"A 65-year-old man with multiple comorbidities is admitted to the ICU after prolonged mechanical ventilation. On examination, he has a large sacral bedsore with necrotic tissue and foul-smelling discharge. The wound is deep, with exposed muscle. What is the most appropriate initial step in management?",Immediate removal of necrotic tissue and reconstructive surgery,Debridement of necrotic tissue and start broad-spectrum antibiotics,Start reconstructive surgery without debridement,Continue local dressing only until patient stabilizes,Hyperbaric oxygen therapy as first-line management,B,"<span style=""color:green""><b>Debridement of necrotic tissue and start broad-spectrum antibiotics</b></span> Necrotic tissue harbors bacteria; debridement and antibiotics before reconstruction.<br><br><span style=""color:red""><b>Immediate debridement and reconstruction</b></span> Reconstruction in infected wound fails.<br><br><span style=""color:red""><b>Reconstruction without debridement</b></span> Guarantees failure.<br><br><span style=""color:red""><b>Local dressing only</b></span> Inadequate; infection progresses.<br><br><span style=""color:red""><b>Hyperbaric oxygen first</b></span> Adjunctive, not primary.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Debride the dead, treat infection, then rebuild.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The wound is necrotic and foul-smelling — what must be done to the dead tissue before any flap or surgery?"
RWR-Integumentary System-002,Integumentary System,,"A 65-year-old bed-ridden man with uncontrolled diabetes presents with a large pressure ulcer over the sacral region. On examination, the ulcer is deep, exposing underlying muscle fibers. The skin and subcutaneous tissue are completely destroyed. There is no bone exposure.What is the stage of this pressure ulcer?",Stage 1 – Non-blanchable erythema of intact skin,Stage 2 – Partial thickness skin loss involving epidermis/dermis,"Stage 3 – Full thickness skin loss involving subcutaneous tissue, but not through fascia","Stage 4 – Full thickness tissue loss with involvement of muscle, bone, or supporting structures",Unstageable – Eschar/slough covering wound base,D,"<span style=""color:green""><b>Stage 4 – Full thickness tissue loss with involvement of muscle, bone, or supporting structures</b></span> Exposed muscle defines Stage 4.<br><br><span style=""color:red""><b>Stage 1</b></span> Intact skin, non-blanchable erythema.<br><br><span style=""color:red""><b>Stage 2</b></span> Partial thickness, no subcut exposed.<br><br><span style=""color:red""><b>Stage 3</b></span> Full thickness into subcut, not muscle/bone.<br><br><span style=""color:red""><b>Unstageable</b></span> Eschar/slough obscures depth; here depth is visible.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Muscle exposed = Stage 4.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The ulcer goes down to muscle but not bone — which stage includes muscle involvement?"
RWR-Reproductive System-001,Reproductive System,,"A 52-year-old woman presented with a painless lump in her right breast for 3 months. She underwent a modified radical mastectomy. Histopathology revealed invasive ductal carcinoma, estrogen receptor (ER) and progesterone receptor (PR) negative, HER2 negative. Surgical margins were clear, but 1 out of 19 axillary lymph nodes was positive for metastasis. She has no significant comorbidities and has recovered well from surgery.On follow-up, the oncologist is planning further management.What is the most appropriate next step in management?",Multidrug chemotherapy and radiotherapy,Single drug chemotherapy and radiotherapy,"Multidrug chemotherapy, radiotherapy, and tamoxifen",Observation only,Tamoxifen alone,A,"<span style=""color:green""><b>Multidrug chemotherapy and radiotherapy</b></span> Triple-negative, node-positive breast cancer requires multiagent chemo and radiotherapy; hormonal therapy useless.<br><br><span style=""color:red""><b>Single drug chemo + radiation</b></span> Multiagent standard.<br><br><span style=""color:red""><b>Chemo, radiation, tamoxifen</b></span> Tamoxifen ineffective in ER-negative.<br><br><span style=""color:red""><b>Observation only</b></span> Inadequate with positive node.<br><br><span style=""color:red""><b>Tamoxifen alone</b></span> No hormonal receptor target.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Triple-negative, node-positive = chemo + radiation, no hormones.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> ER-/PR-/HER2- negative and one positive lymph node — what systemic therapy can attack this type of cancer?"
RWR-Urinary System-001,Urinary System,,"A 35-year-old man presents to the emergency department with sudden onset severe left flank pain radiating to the groin, associated with nausea and restlessness. He has no history of trauma. On examination, there is left costovertebral angle tenderness, but vital signs are stable. Urinalysis shows microscopic hematuria.What is the best initial investigation to confirm the diagnosis?",Intravenous urography (IVU),CT KUB without contrast,Ultrasound abdomen,MRI abdomen,CT KUB with contrast,B,"<span style=""color:green""><b>CT KUB without contrast</b></span> Non-contrast CT is the gold standard for detecting renal calculi.<br><br><span style=""color:red""><b>Intravenous urography</b></span> Older modality; CT has replaced it.<br><br><span style=""color:red""><b>Ultrasound</b></span> Less sensitive, may miss small stones.<br><br><span style=""color:red""><b>MRI</b></span> Poor for stones.<br><br><span style=""color:red""><b>CT KUB with contrast</b></span> Can obscure stones and not required initially.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Renal colic = CT KUB non-contrast.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He has flank pain and hematuria — what is the non-contrast imaging study that best shows stones?"
RWR-Cardiovascular System-007,Cardiovascular System,,"A 62-year-old man with a 15-year history of diabetes mellitus presents with a painless, sudden loss of vision in his left eye. Fundus examination shows retinal hemorrhages in all four quadrants, dilated tortuous veins, and cotton-wool spots.Which of the following is the most likely diagnosis?",Branch Retinal Vein Occlusion (BRVO),Branch Retinal Artery Occlusion (BRAO),Central Retinal Artery Occlusion (CRAO),Central Retinal Vein Occlusion (CRVO),Diabetic Retinopathy with vitreous hemorrhage,D,"<span style=""color:green""><b>Central Retinal Vein Occlusion (CRVO)</b></span> Sudden painless vision loss with hemorrhages in all four quadrants, dilated tortuous veins, cotton-wool spots.<br><br><span style=""color:red""><b>Branch Retinal Vein Occlusion</b></span> Hemorrhages confined to one sector.<br><br><span style=""color:red""><b>Branch Retinal Artery Occlusion</b></span> Sectoral pale retina, no venous dilation.<br><br><span style=""color:red""><b>Central Retinal Artery Occlusion</b></span> Cherry-red spot, attenuated vessels.<br><br><span style=""color:red""><b>Diabetic Retinopathy</b></span> Microaneurysms, dot-blot hemorrhages, not sudden diffuse venous engorgement.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""All four quadrants = central vein, not branch.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The fundus shows widespread retinal hemorrhages in all quadrants and dilated veins — which major vein is blocked?"
RWR-Trauma-004,Trauma,,"A 28-year-old male is brought to the emergency department after a high-speed road traffic accident. On arrival, he is restless, confused, and pale. His blood pressure is 80/50 mmHg, pulse 140/min, and respiratory rate 35/min. There is active bleeding from a scalp laceration, multiple bruises over the chest and abdomen, and deformity of the right thigh.As the attending surgeon, what should be the initial step in management?",Secure the airway with cervical spine protection,Establish two large-bore IV lines and start fluid resuscitation,Apply pelvic binder and splint long bone fractures,Perform FAST (Focused Assessment with Sonography in Trauma),Administer oxygen by face mask only,A,"<span style=""color:green""><b>Secure the airway with cervical spine protection</b></span> First step in ATLS (ABCDE) is airway with C-spine immobilization.<br><br><span style=""color:red""><b>Establish IV lines</b></span> Circulation step, after airway/breathing.<br><br><span style=""color:red""><b>Apply pelvic binder</b></span> Disability/exposure, later.<br><br><span style=""color:red""><b>Perform FAST</b></span> Adjunct to primary survey.<br><br><span style=""color:red""><b>Oxygen by face mask only</b></span> Breathing, but airway security first.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""A (Airway + C-spine) before B and C.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He's confused, pale, and tachycardic — what is the very first priority in the ATLS sequence, especially after a high-speed crash?"
RWR-Respiratory System-002,Respiratory System,,"A 30-year-old male is brought to the emergency department following a road traffic accident. He is restless, tachypneic, and has blood pressure 80/60 mmHg, pulse 130/min. On examination, there are decreased breath sounds on the right side, trachea is deviated to the left, and neck veins appear distended. The airway has already been secured.What is the next best step in management?",Immediate endotracheal intubation,Needle decompression in the 2nd intercostal space mid-clavicular line,Tube thoracostomy in 5th intercostal space mid-axillary line,IV fluid resuscitation first,Urgent chest X-ray to confirm diagnosis,B,"<span style=""color:green""><b>Needle decompression in the 2nd intercostal space mid-clavicular line</b></span> Tension pneumothorax (absent breath sounds, tracheal shift, distended neck veins) requires immediate needle decompression before imaging.<br><br><span style=""color:red""><b>Intubation</b></span> Airway already secured.<br><br><span style=""color:red""><b>Tube thoracostomy</b></span> Definitive, but needle decompression first.<br><br><span style=""color:red""><b>IV fluids first</b></span> Tension pneumo won't respond to fluids alone.<br><br><span style=""color:red""><b>Urgent chest X-ray</b></span> Delays life-saving decompression.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""One-way valve air trap = needle first, then tube.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He has absent breath sounds, trachea pushed away, and neck veins bulging — what immediate action releases trapped air?"
RWR-Cardiovascular System-008,Cardiovascular System,,A 62-year-old man with a history of myocardial infarction (MI) 3 months ago is now diagnosed with symptomatic gallstones and requires elective cholecystectomy. He is currently on dual antiplatelet therapy (aspirin + clopidogrel).What is the most appropriate next step in management?,Proceed with surgery while continuing dual antiplatelet therapy with minor dose adjustments,"Stop clopidogrel and continue aspirin, then operate immediately",Postpone surgery and wait at least 6 months after MI,Delay surgery for at least 1 year after MI,"Discontinue both aspirin and clopidogrel, then perform surgery within a week",C,"<span style=""color:green""><b>Postpone surgery and wait at least 6 months after MI</b></span> Guidelines: delay elective non-cardiac surgery ≥6 months post-MI to reduce reinfarction risk.<br><br><span style=""color:red""><b>Proceed on DAPT</b></span> High bleeding risk, not ideal.<br><br><span style=""color:red""><b>Stop clopidogrel, continue aspirin, operate immediately</b></span> Still too soon.<br><br><span style=""color:red""><b>Delay 1 year</b></span> Unnecessarily long; 6 months is adequate.<br><br><span style=""color:red""><b>Stop both antiplatelets and operate within a week</b></span> Very high thrombotic risk.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Elective surgery post-MI: wait at least 6 months.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He had a heart attack 3 months ago and now needs elective gallbladder surgery — what is the minimum recommended waiting period?"
RWR-Nervous System-004,Nervous System,,"A 48-year-old woman underwent craniotomy for glioblastoma multiforme. On postoperative examination, she is unable to close her right eye completely, has drooping of the angle of her mouth, and cannot smile or blow her cheeks. Sensation over the face remains intact. Which cranial nerve is most likely injured during surgery?",Trigeminal nerve (CN V),Oculomotor nerve (CN III),Trochlear nerve (CN IV),Facial nerve (CN VII),Glossopharyngeal nerve (CN IX),D,"<span style=""color:green""><b>Facial nerve (CN VII)</b></span> Motor to muscles of facial expression: inability to close eye, drooping mouth, cannot smile, with intact sensation.<br><br><span style=""color:red""><b>Trigeminal nerve (CN V)</b></span> Sensory to face.<br><br><span style=""color:red""><b>Oculomotor nerve (CN III)</b></span> Eye movements, eyelid elevation.<br><br><span style=""color:red""><b>Trochlear nerve (CN IV)</b></span> Superior oblique only.<br><br><span style=""color:red""><b>Glossopharyngeal nerve (CN IX)</b></span> Swallowing, taste.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Face motor = CN VII.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She can't close her right eye or move the corner of her mouth, but facial sensation is normal — which nerve purely controls muscles of facial expression?"
RWR-Gastrointestinal System-010,Gastrointestinal System,,"A 60-year-old man undergoes emergency laparotomy for perforated appendicitis. Postoperatively, he is placed on broad-spectrum antibiotics. The surgical team is concerned about the risk of nosocomial fungal infections.Which of the following strategies is most effective in preventing postoperative fungal infections?",Early initiation of antifungal prophylaxis,Minimize use of broad-spectrum antibiotics,Routine central line removal,Strict hand hygiene only,Postoperative hyperalimentation,B,"<span style=""color:green""><b>Minimize use of broad-spectrum antibiotics</b></span> Broad‑spectrum antibiotics disrupt normal flora, promoting fungal overgrowth; the most effective preventive strategy is to narrow or stop antibiotics as soon as possible.<br><br><span style=""color:red""><b>Early initiation of antifungal prophylaxis</b></span> Not routinely recommended; prophylaxis is reserved for high‑risk immunocompromised patients.<br><br><span style=""color:red""><b>Routine central line removal</b></span> Reduces catheter‑related infections but is not the primary preventive measure for fungal infections after abdominal surgery.<br><br><span style=""color:red""><b>Strict hand hygiene only</b></span> Important but insufficient alone to prevent endogenous fungal overgrowth.<br><br><span style=""color:red""><b>Postoperative hyperalimentation</b></span> No role in preventing fungal infections.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Fungi thrive when antibiotics wipe out bacteria – minimise antibiotics to lower fungal risk.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The patient is on broad‑spectrum antibiotics after laparotomy – what change in antimicrobial use would best prevent fungal overgrowth?"
RWR-Trauma-005,Trauma,,"A 25-year-old man is brought to the emergency department after sustaining a stab wound to the anterior thigh during an accident. There is profuse bleeding, and the patient is pale, diaphoretic, and tachycardic. On examination, there is active arterial spurting from the wound site.What is the initial step to control the bleeding in this patient?",Apply a proximal tourniquet,Apply direct pressure over the femoral artery,Perform wound packing,Take the patient immediately to the operating room for vessel repair,Give IV fluids and wait for surgical team,B,"<span style=""color:green""><b>Apply direct pressure over the femoral artery</b></span> Direct manual pressure on the bleeding vessel is the first step in controlling life‑threatening external hemorrhage, per ATLS.<br><br><span style=""color:red""><b>Apply a proximal tourniquet</b></span> Used if direct pressure fails or is not feasible; not the first step.<br><br><span style=""color:red""><b>Perform wound packing</b></span> Adjunct for deep wounds, but direct pressure takes priority.<br><br><span style=""color:red""><b>Take the patient immediately to the OR</b></span> Without prior hemorrhage control, the patient may exsanguinate.<br><br><span style=""color:red""><b>Give IV fluids and wait</b></span> Does not address the active bleeding source.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Direct pressure first, tourniquet if it fails.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Bright red spurting from the thigh – what is the immediate hands‑on action to stop visible arterial bleeding?"
RWR-Musculoskeletal System-001,Musculoskeletal System,,"An 82-year-old woman with a history of osteoporosis presents to the emergency department after slipping in her bathroom. She complains of severe pain in her right hip and is unable to stand or walk. On examination, her right lower limb is shortened and externally rotated. There is localized tenderness over the hip joint, and any attempt at passive movement is painful. Which of the following is the most likely diagnosis?",Intertrochanteric fracture of femur,Shaft of femur fracture,Neck of femur fracture,Acetabular fracture,Posterior hip dislocation,C,"<span style=""color:green""><b>Neck of femur fracture</b></span> Classic presentation in an elderly osteoporotic female after a low‑energy fall: shortened and externally rotated leg, hip pain, inability to bear weight.<br><br><span style=""color:red""><b>Intertrochanteric fracture</b></span> Also causes external rotation, but neck of femur fracture is the most likely given the classic teaching.<br><br><span style=""color:red""><b>Shaft of femur fracture</b></span> Usually from high‑energy trauma, not a simple fall.<br><br><span style=""color:red""><b>Acetabular fracture</b></span> Pain in the groin/hip but no characteristic limb deformity.<br><br><span style=""color:red""><b>Posterior hip dislocation</b></span> Limb is shortened, internally rotated, and adducted, not externally rotated.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Osteoporosis + fall + shortened externally rotated leg = femoral neck fracture.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She fell and now has a shortened, externally rotated leg – which part of the femur is most commonly broken in this age group?"
RWR-Integumentary System-003,Integumentary System,,"A 45-year-old man presents with progressive swelling and pain in his left leg after a puncture wound 3 days ago. Examination reveals woody edema, severe tenderness, erythema, and fever (39 °C). He appears toxic, with leukocytosis on labs. Wound cultures have been sent, but results are not yet available.What is the most appropriate empiric antibiotic therapy to start immediately?",Amoxicillin,Cefuroxime,Tetracycline,Ceftriaxone alone,Vancomycin + Piperacillin-Tazobactam,E,"<span style=""color:green""><b>Vancomycin + Piperacillin‑Tazobactam</b></span> Covers MRSA, gram‑negative rods, and anaerobes – the broad empiric regimen for suspected necrotizing fasciitis while cultures are pending.<br><br><span style=""color:red""><b>Amoxicillin</b></span> Too narrow spectrum; will not cover MRSA or anaerobes adequately.<br><br><span style=""color:red""><b>Cefuroxime</b></span> Lacks reliable anaerobic coverage and does not cover MRSA.<br><br><span style=""color:red""><b>Ceftriaxone alone</b></span> No anaerobic or MRSA coverage; insufficient for a rapidly progressive necrotizing infection.<br><br><span style=""color:red""><b>Tetracycline</b></span> Inadequate empiric coverage for life‑threatening soft‑tissue infection.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Necrotizing fasciitis = broad coverage: anti‑MRSA + gram‑negative + anaerobes.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Woody edema, systemic toxicity, and rapid progression after a wound – which antibiotic combination covers the likely polymicrobial flora, including anaerobes?"
RWR-Gastrointestinal System-011,Gastrointestinal System,,"A 24-year-old man underwent an open appendectomy 7 days ago. He now presents with abdominal distension, persistent vomiting, inability to pass stool or flatus, and diffuse abdominal pain. On examination, he is febrile (38.8 °C), tachycardic (110/min), and has generalized tenderness with guarding and rebound. Bowel sounds are absent.Laboratory tests reveal leukocytosis, and an abdominal X-ray shows multiple air-fluid levels with dilated small bowel loops.What is the next best step in management?",Urgent laparotomy,"IV antibiotics, wait and observe",Observe only,Start prokinetic agents to relieve ileus,,A,"<span style=""color:green""><b>Urgent laparotomy</b></span> Generalized peritonitis with sepsis after appendectomy indicates a serious intra‑abdominal complication (e.g., stump leak, abscess); urgent source control via laparotomy is mandatory.<br><br><span style=""color:red""><b>IV antibiotics, wait and observe</b></span> Inadequate for diffuse peritonitis; surgery cannot be delayed.<br><br><span style=""color:red""><b>Observe only</b></span> Potentially fatal.<br><br><span style=""color:red""><b>Start prokinetic agents</b></span> Prokinetics are contraindicated in mechanical obstruction/peritonitis and do not treat the underlying cause.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Peritonitis + sepsis after recent surgery = go back to the OR.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Seven days after an appendectomy, he has fever, guarding, absent bowel sounds, and air‑fluid levels – what intervention provides source control?"
RWR-Respiratory System-003,Respiratory System,,"A 32-year-old man is admitted after a femoral shaft fracture sustained in a road traffic accident. Two days later, he develops acute shortness of breath, confusion, and a petechial rash over the chest and axillae. His oxygen saturation is 84% on room air. Arterial blood gas shows PaO2 = 55 mmHg. Ophthalmoscopic examination reveals fat globules in the retinal vessels.According to Gurd's criteria for diagnosing fat embolism syndrome, which of the following is considered a major criterion?",Retinal fat globules,Urinary fat globules,Hypoxemia,Tachycardia,Fever,C,"<span style=""color:green""><b>Hypoxemia</b></span> Gurd’s major criteria for fat embolism syndrome are respiratory insufficiency (hypoxemia), cerebral involvement, and petechial rash.<br><br><span style=""color:red""><b>Retinal fat globules</b></span> Minor criterion (retinal changes).<br><br><span style=""color:red""><b>Urinary fat globules</b></span> Minor criterion.<br><br><span style=""color:red""><b>Tachycardia</b></span> Minor criterion.<br><br><span style=""color:red""><b>Fever</b></span> Minor criterion.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Major criteria: lungs (hypoxemia), brain, petechiae.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> You’ve found fat globules in retinal vessels, but Gurd’s system has specific major criteria – which one is directly related to the patient’s low oxygen?"
